collected_at,site,group,group_label,leg,origin,destination,flight_date,price_brl,url,status,note
2026-09-10T23:52:50,google_flights,rio_volta,Volta ao Rio (Buenos Aires → GIG/SDU),volta,AEP,GIG,2026-11-28,1154.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+to+Rio+de+Janeiro+Galeao+Airport+%28GIG%29+2026-11-28+one+way+nonstop,ok,
2026-09-11T00:04:01,google_flights,rio_volta,Volta ao Rio (Buenos Aires → GIG/SDU),volta,AEP,GIG,2026-11-28,1154.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+to+Rio+de+Janeiro+Galeao+Airport+%28GIG%29+2026-11-28+one+way+nonstop,ok,
2026-09-11T00:04:07,google_flights,elcalafate_ida,Ida El Calafate (Buenos Aires → El Calafate),ida,AEP,FTE,2026-11-25,904.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+to+El+Calafate+2026-11-25+one+way+nonstop,ok,
2026-09-11T00:04:11,google_flights,elcalafate_volta,Volta El Calafate (El Calafate → Buenos Aires),volta,FTE,AEP,2026-11-28,1082.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+El+Calafate+to+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+2026-11-28+one+way+nonstop,ok,
2026-09-11T14:56:58,google_flights,rio_volta,Volta ao Rio (Buenos Aires → GIG/SDU),volta,AEP,GIG,2026-11-28,1150.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+to+Rio+de+Janeiro+Galeao+Airport+%28GIG%29+2026-11-28+one+way+nonstop,ok,
2026-09-11T14:57:03,google_flights,elcalafate_ida,Ida El Calafate (Buenos Aires → El Calafate),ida,AEP,FTE,2026-11-25,901.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+to+El+Calafate+2026-11-25+one+way+nonstop,ok,
2026-09-11T14:57:06,google_flights,elcalafate_volta,Volta El Calafate (El Calafate → Buenos Aires),volta,FTE,AEP,2026-11-28,1079.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+El+Calafate+to+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+2026-11-28+one+way+nonstop,ok,
2026-09-12T13:58:06,google_flights,rio_volta,Volta ao Rio (Buenos Aires → GIG/SDU),volta,AEP,GIG,2026-11-28,1156.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+to+Rio+de+Janeiro+Galeao+Airport+%28GIG%29+2026-11-28+one+way+nonstop,ok,
2026-09-12T13:58:13,google_flights,elcalafate_ida,Ida El Calafate (Buenos Aires → El Calafate),ida,AEP,FTE,2026-11-25,1059.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+to+El+Calafate+2026-11-25+one+way+nonstop,ok,
2026-09-12T13:58:16,google_flights,elcalafate_volta,Volta El Calafate (El Calafate → Buenos Aires),volta,FTE,AEP,2026-11-28,853.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+El+Calafate+to+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+2026-11-28+one+way+nonstop,ok,
2026-09-13T14:53:26,google_flights,rio_volta,Volta ao Rio (Buenos Aires → GIG/SDU),volta,AEP,GIG,2026-11-28,1156.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+to+Rio+de+Janeiro+Galeao+Airport+%28GIG%29+2026-11-28+one+way+nonstop,ok,
